x_lo,x_hi,x_mid,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
18008.0,18507.666666666668,18257.833333333336,1597500,-1929.1233771517998,424.68304533805156,-3100.0,-1046.0,,1975.315817881398,1929.1233771517998,2500.0,3100.0
18507.666666666668,19007.333333333336,18757.5,1598130,-1993.4747705130371,377.19026503985646,-2705.0,-1272.0,,2028.845501187433,1993.4747705130371,2600.0,2700.0
19007.333333333336,19507.0,19257.166666666668,1593375,-2006.9256766297951,443.58535586373046,-3100.0,-1046.0,,2055.3633537555843,2006.9256766297951,2600.0,3100.0
19507.0,20006.666666666668,19756.833333333336,1605360,-1894.764270942343,362.41096568641353,-2705.0,-1046.0,,1929.112041503795,1894.764270942343,2300.0,2700.0
20006.666666666668,20506.333333333336,20256.5,1606650,-2073.40586313136,438.02737536121623,-3100.0,-1046.0,,2119.169586279539,2073.40586313136,2600.0,3100.0
20506.333333333336,21006.0,20756.166666666668,1593750,-1805.0208125490196,359.41764563112656,-3100.0,-1046.0,,1840.4567630540448,1805.0208125490196,2200.0,2700.0
21006.0,21505.666666666668,21255.833333333336,1605915,-2129.083575407167,385.7955302725932,-3094.0,-1381.0,,2163.7548312056147,2129.083575407167,2700.0,3100.0
21505.666666666668,22005.333333333336,21755.5,1608030,-1912.7874604329522,420.38078990358906,-3100.0,-1046.0,,1958.437072619658,1912.7874604329522,2500.0,3100.0
22005.333333333336,22505.0,22255.166666666668,1597635,-2012.3125369687068,379.71526096827665,-2705.0,-1381.0,,2047.8245373091518,2012.3125369687068,2600.0,2700.0
22505.0,23004.666666666668,22754.833333333336,1601445,-1994.0999690904152,440.26523894298066,-3100.0,-1046.0,,2042.1234160332476,1994.0999690904152,2600.0,3100.0
23004.666666666668,23504.333333333336,23254.5,1600545,-1912.2276443336489,364.61852994934344,-2705.0,-1056.0,,1946.6795198678337,1912.2276443336489,2500.0,2700.0
23504.333333333336,24004.0,23754.166666666668,1600785,-2061.222112900858,442.3260717405728,-3100.0,-910.0,,2108.1481993043485,2061.222112900858,2600.0,3100.0
