pin,direction,use,pin_family,pin_index,is_position_bus,layers,shape_count,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,ll_bbox_x1,ll_bbox_y1,ll_bbox_x2,ll_bbox_y2,ll_center_x,ll_center_y,width,height,side,edge_distance
Cout[19],INOUT,SIGNAL,Cout,19,NO,MET3,1,857.595,1659.395,857.875,1659.675,857.735,1659.5349999999999,908.99,1725.2549999999999,909.27,1725.5349999999999,909.13,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[20],INOUT,SIGNAL,Cout,20,NO,MET3,1,900.895,1659.395,901.175,1659.675,901.035,1659.5349999999999,952.29,1725.2549999999999,952.5699999999999,1725.5349999999999,952.43,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[21],INOUT,SIGNAL,Cout,21,NO,MET3,1,944.195,1659.395,944.475,1659.675,944.335,1659.5349999999999,995.59,1725.2549999999999,995.87,1725.5349999999999,995.73,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[22],INOUT,SIGNAL,Cout,22,NO,MET3,1,987.495,1659.395,987.775,1659.675,987.635,1659.5349999999999,1038.89,1725.2549999999999,1039.17,1725.5349999999999,1039.03,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[23],INOUT,SIGNAL,Cout,23,NO,MET3,1,1030.795,1659.395,1031.075,1659.675,1030.935,1659.5349999999999,1082.19,1725.2549999999999,1082.47,1725.5349999999999,1082.33,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[24],INOUT,SIGNAL,Cout,24,NO,MET3,1,1074.095,1659.395,1074.375,1659.675,1074.2350000000001,1659.5349999999999,1125.49,1725.2549999999999,1125.77,1725.5349999999999,1125.63,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[25],INOUT,SIGNAL,Cout,25,NO,MET3,1,1117.395,1659.395,1117.675,1659.675,1117.5349999999999,1659.5349999999999,1168.79,1725.2549999999999,1169.07,1725.5349999999999,1168.9299999999998,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[26],INOUT,SIGNAL,Cout,26,NO,MET3,1,1160.695,1659.395,1160.975,1659.675,1160.835,1659.5349999999999,1212.09,1725.2549999999999,1212.37,1725.5349999999999,1212.23,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[27],INOUT,SIGNAL,Cout,27,NO,MET3,1,1203.995,1659.395,1204.275,1659.675,1204.135,1659.5349999999999,1255.3899999999999,1725.2549999999999,1255.67,1725.5349999999999,1255.53,1725.3949999999998,0.2800000000002001,0.2799999999999727,TOP,0.005000000000109139
Cout[28],INOUT,SIGNAL,Cout,28,NO,MET3,1,1247.295,1659.395,1247.575,1659.675,1247.435,1659.5349999999999,1298.69,1725.2549999999999,1298.97,1725.5349999999999,1298.83,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
