ns_inf,nf_inf,nslow,nfast_hit,stop_phase_disc,phase0_snap,hit_idx,correction,within_std,train_count
0,0,14,8,1,0,0,-2148.182978723404,10.24642444086763,705
0,0,14,9,1,0,0,-2200.7431578947367,5.597116788493533,475
0,0,14,9,3,0,0,-2162.916167664671,15.85649352863074,1169
0,0,14,9,7,0,0,-2132.990291262136,1.4845164987606907,103
0,0,14,10,7,0,0,-2170.7693672383207,23.400531885024634,1691
0,0,14,11,7,0,0,-2169.3527746319364,23.16855883682987,1766
0,0,14,12,7,1,0,-3051.374925727867,23.106414059441747,1683
0,0,15,2,7,1,0,-2170.2888752304857,23.258233781253217,1627
0,0,15,3,4,1,0,-2140.8409638554217,5.8378704680263604,415
0,0,15,3,6,1,0,-2177.858647936787,16.18755964302477,1139
0,0,15,4,0,1,0,-2152.8672286617493,13.000740467329871,949
0,0,15,4,4,1,0,-2193.054376657825,10.173610382748882,754
0,0,15,5,0,1,0,-2170.7580645161293,23.347608486935318,1736
0,0,15,6,0,0,0,-2150.294930875576,11.660644041613844,868
0,0,15,6,0,1,0,-2190.410138248848,11.793147603406958,868
0,0,15,7,0,0,0,-2170.8670588235295,23.873711302365315,1700
0,0,15,8,0,0,0,-2187.2717271727174,12.768561992023194,909
0,0,15,8,1,0,0,-2147.464864864865,10.153556592079203,740
0,0,15,9,1,0,0,-2200.6984536082473,5.631218000199609,388
0,0,15,9,3,0,0,-2163.68832309043,15.973923952558565,1139
0,0,15,10,7,0,0,-2169.4723529411763,23.70703172664073,1700
0,0,15,11,7,0,0,-2169.869222096956,23.35771118198292,1774
0,0,15,12,7,1,0,-3050.4970691676435,23.19028383968885,1706
0,0,16,2,7,1,0,-2170.119212962963,23.1438667047439,1728
0,0,16,3,4,1,0,-2140.7887931034484,5.6292228830555935,464
0,0,16,3,6,1,0,-2178.9665551839466,15.906306520677322,1196
0,0,16,3,7,1,0,-2208.1472868217056,1.5101762058485737,129
0,0,16,4,0,1,0,-2152.7288977159883,12.872030334086435,1007
0,0,16,4,4,1,0,-2192.3897849462364,9.8960295588296,744
0,0,16,5,0,1,0,-2170.44021101993,22.942872137135073,1706
0,0,16,6,0,0,0,-2150.1784897025173,11.44303149527413,874
0,0,16,6,0,1,0,-2190.8784067085953,11.675553451787327,954
0,0,16,7,0,0,0,-2170.8654416123295,23.32063630776223,1687
0,0,16,8,0,0,0,-2187.9104938271603,13.164174360322123,972
0,0,16,8,1,0,0,-2147.7863945578233,10.347267143563055,735
0,0,16,9,1,0,0,-2200.632754342432,5.759800719153932,403
0,0,16,9,3,0,0,-2162.7524834437086,15.645942721171531,1208
0,0,16,9,7,0,0,-2132.9137931034484,1.4596230355082764,116
0,0,16,10,7,0,0,-2170.2653701380177,22.829721932880144,1594
0,0,16,11,7,0,0,-2170.5461165048546,22.97947183235408,1648
0,0,16,12,7,1,0,-3050.574320050601,22.542286041095217,1581
0,0,17,2,7,1,0,-2170.5297973778306,22.574601660419354,1678
0,0,17,3,4,1,0,-2140.0305164319248,5.692966438461553,426
0,0,17,3,6,1,0,-2178.018883415435,15.818463305523899,1218
0,0,17,3,7,1,0,-2208.0721649484535,1.3641010233922075,97
0,0,17,4,0,1,0,-2152.9269602577874,13.098529090568803,931
0,0,17,4,4,1,0,-2193.0779392338177,10.030100114307425,757
0,0,17,5,0,1,0,-2170.8548387096776,23.177690394475466,1674
0,0,17,6,0,0,0,-2150.1666666666665,11.563260951487312,870
0,0,17,6,0,1,0,-2190.405498281787,11.661729618531153,873
0,0,17,7,0,0,0,-2171.338251986379,22.590069461180054,1762
0,0,17,8,0,0,0,-2188.4609297725024,12.796559515640197,1011
0,0,17,8,1,0,0,-2147.5836972343523,9.9189537740673,687
0,0,17,9,1,0,0,-2200.720873786408,5.846104936192037,412
0,0,17,9,3,0,0,-2162.541908713693,15.978593917407037,1205
0,0,17,9,7,0,0,-2133.2301587301586,1.4207235939889233,126
0,0,17,10,7,0,0,-2169.692926969523,23.249750633999046,1739
0,0,17,11,7,0,0,-2170.729043683589,22.825432581238147,1694
0,0,17,12,7,1,0,-3049.9911608721272,23.16346649300551,1697
0,0,18,2,7,1,0,-2170.994785631518,22.74187557004655,1726
0,0,18,3,4,1,0,-2140.576837416481,5.881078168396408,449
0,0,18,3,6,1,0,-2178.3137417218545,15.749069453386463,1208
0,0,18,3,7,1,0,-2208.0106382978724,1.379906571137138,94
0,0,18,4,0,1,0,-2153.034693877551,13.13038307132794,980
0,0,18,4,4,1,0,-2193.1942544459644,10.06928228746546,731
0,0,18,5,0,1,0,-2170.0308972073676,22.906179170158296,1683
0,0,18,6,0,0,0,-2150.5704622322437,11.581549788409944,887
0,0,18,6,0,1,0,-2190.8247191011237,11.5947807020059,890
0,0,18,7,0,0,0,-2170.2185697808536,23.391706873042303,1734
0,0,18,8,0,0,0,-2187.879714576962,12.833752577473113,981
0,0,18,8,1,0,0,-2147.8363402061855,10.014951143149096,776
0,0,18,9,1,0,0,-2200.689737470167,5.810792746350696,419
0,0,18,9,3,0,0,-2163.351464435146,15.75137331963282,1195
0,0,18,10,7,0,0,-2169.7903415783276,23.23599115179309,1698
0,0,18,11,7,0,0,-2170.8431130327363,23.024199084650224,1619
0,0,18,12,7,1,0,-3049.9376044568244,23.244528055307814,1795
0,0,19,2,7,1,0,-2170.0117716303707,23.303632939155438,1699
0,0,19,3,4,1,0,-2140.550925925926,5.643924878229269,432
0,0,19,3,6,1,0,-2177.8468013468014,15.78549705830474,1188
0,0,19,3,7,1,0,-2208.009009009009,1.3321762694706019,111
0,0,19,4,0,1,0,-2152.71906693712,13.005739938200726,986
0,0,19,4,4,1,0,-2193.0713342140025,10.053630820386344,757
0,0,19,5,0,1,0,-2170.516715542522,23.245921959484225,1705
0,0,19,6,0,0,0,-2150.585764294049,11.894418168861474,857
0,0,19,6,0,1,0,-2190.0586124401916,11.754981026560449,836
0,0,19,7,0,0,0,-2170.004884004884,22.973839251293064,1638
0,0,19,8,0,0,0,-2187.9630021141647,12.916372138164476,946
0,0,19,8,1,0,0,-2148.4240331491715,9.961585180739593,724
0,0,19,9,1,0,0,-2200.1666666666665,5.7292525602353725,426
0,0,19,9,3,0,0,-2163.632075471698,15.807459655825635,1166
0,0,19,9,7,0,0,-2132.8214285714284,1.4028942391119108,112
0,0,19,10,7,0,0,-2170.466467065868,23.31445572177904,1670
0,0,19,11,7,0,0,-2171.5816503173687,23.4257331155771,1733
0,0,19,12,7,1,0,-3051.403903015967,23.339485838272637,1691
0,0,20,2,7,1,0,-2170.445193929174,23.221268749134328,1779
0,0,20,3,4,1,0,-2140.48786407767,5.874690514466517,412
0,0,20,3,6,1,0,-2178.360414866033,15.821189335171512,1157
0,0,20,3,7,1,0,-2208.086956521739,1.329041612451682,115
0,0,20,4,0,1,0,-2152.5622489959837,12.910610987377785,996
0,0,20,4,4,1,0,-2192.956862745098,10.343232227017412,765
0,0,20,5,0,1,0,-2170.562126642772,23.303335028128156,1674
0,0,20,6,0,0,0,-2149.9383561643835,11.730744021106318,876
