term,direction,layer,purpose,llx,lly,urx,ury,cx,cy
I183|PSUB_AVSS,inputOutput,METTPL,pin,414.970000,168.315000,415.470000,176.555000,415.220000,172.435000
I183|PSUB_AVSS,inputOutput,MET4,pin,331.470000,13.555000,331.970000,21.695000,331.720000,17.625000
I183|PSUB_AVSS,inputOutput,MET4,pin,331.470000,167.815000,331.970000,176.555000,331.720000,172.185000
I183|PSUB_AVSS,inputOutput,MET5,pin,331.470000,13.555000,331.970000,21.695000,331.720000,17.625000
I183|PSUB_AVSS,inputOutput,MET5,pin,331.470000,167.815000,331.970000,176.555000,331.720000,172.185000
I183|PSUB_AVSS,inputOutput,MET4,pin,414.970000,13.555000,415.470000,21.695000,415.220000,17.625000
I183|PSUB_AVSS,inputOutput,MET4,pin,414.970000,167.815000,415.470000,176.555000,415.220000,172.185000
I183|PSUB_AVSS,inputOutput,MET5,pin,414.970000,13.555000,415.470000,21.695000,415.220000,17.625000
I183|PSUB_AVSS,inputOutput,MET5,pin,414.970000,167.815000,415.470000,176.555000,415.220000,172.185000
I183|PSUB_AVSS,inputOutput,METTPL,pin,331.470000,13.555000,331.970000,20.955000,331.720000,17.255000
I183|PSUB_AVSS,inputOutput,METTPL,pin,414.970000,13.555000,415.470000,20.955000,415.220000,17.255000
I183|PSUB_AVSS,inputOutput,METTPL,pin,331.470000,168.315000,331.970000,176.555000,331.720000,172.435000
I183|PSUB_AVSS,inputOutput,METTPL,pin,414.970000,168.315000,415.470000,176.555000,415.220000,172.435000
I183|PSUB_PSUB_AVSS,inputOutput,METTPL,pin,143.470000,168.315000,143.970000,176.555000,143.720000,172.435000
I183|PSUB_PSUB_AVSS,inputOutput,METTPL,pin,237.470000,168.315000,237.970000,176.555000,237.720000,172.435000
I183|PSUB_PSUB_AVSS,inputOutput,METTPL,pin,331.470000,168.315000,331.970000,176.555000,331.720000,172.435000
I183|PSUB_PSUB_PSUB_AVSS,inputOutput,METTPL,pin,226.970000,13.555000,227.470000,20.955000,227.220000,17.255000
I183|PSUB_PSUB_PSUB_AVSS,inputOutput,METTPL,pin,320.970000,13.555000,321.470000,20.955000,321.220000,17.255000
I183|PSUB_PSUB_PSUB_AVSS,inputOutput,METTPL,pin,414.970000,13.555000,415.470000,20.955000,415.220000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,METTPL,pin,143.470000,13.555000,143.970000,20.955000,143.720000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,METTPL,pin,237.470000,13.555000,237.970000,20.955000,237.720000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,METTPL,pin,331.470000,13.555000,331.970000,20.955000,331.720000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,226.970000,167.815000,227.470000,176.555000,227.220000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,320.970000,167.815000,321.470000,176.555000,321.220000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,414.970000,167.815000,415.470000,176.555000,415.220000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,226.970000,13.555000,227.470000,21.695000,227.220000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,320.970000,13.555000,321.470000,21.695000,321.220000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,414.970000,13.555000,415.470000,21.695000,415.220000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,226.970000,167.815000,227.470000,176.555000,227.220000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,320.970000,167.815000,321.470000,176.555000,321.220000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,414.970000,167.815000,415.470000,176.555000,415.220000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,226.970000,13.555000,227.470000,21.695000,227.220000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,320.970000,13.555000,321.470000,21.695000,321.220000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,414.970000,13.555000,415.470000,21.695000,415.220000,17.625000
