inst,master_lib,master_cell,master_view,orient,term,direction,net,layer,purpose,master_llx,master_lly,master_urx,master_ury,top_llx,top_lly,top_urx,top_ury,top_cx,top_cy,norm_top_llx,norm_top_lly,norm_top_urx,norm_top_ury,norm_top_cx,norm_top_cy,nearest_inst_side
M182,SPADMIC,matrice4,layout,,Y<29>,inputOutput,,MET2,pin,1940.085000,749.635000,1940.365000,749.915000,2017.150000,1381.675000,2017.430000,1381.955000,2017.290000,1381.815000,2017.390000,1669.390000,2017.670000,1669.670000,2017.530000,1669.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<28>,inputOutput,,MET2,pin,1940.085000,724.635000,1940.365000,724.915000,2017.150000,1356.675000,2017.430000,1356.955000,2017.290000,1356.815000,2017.390000,1644.390000,2017.670000,1644.670000,2017.530000,1644.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<27>,inputOutput,,MET2,pin,1940.085000,699.075000,1940.365000,699.355000,2017.150000,1331.115000,2017.430000,1331.395000,2017.290000,1331.255000,2017.390000,1618.830000,2017.670000,1619.110000,2017.530000,1618.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<26>,inputOutput,,MET2,pin,1940.085000,674.075000,1940.365000,674.355000,2017.150000,1306.115000,2017.430000,1306.395000,2017.290000,1306.255000,2017.390000,1593.830000,2017.670000,1594.110000,2017.530000,1593.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<27>,inputOutput,,MET2,pin,1940.085000,699.635000,1940.365000,699.915000,2017.150000,1331.675000,2017.430000,1331.955000,2017.290000,1331.815000,2017.390000,1619.390000,2017.670000,1619.670000,2017.530000,1619.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<26>,inputOutput,,MET2,pin,1940.085000,674.635000,1940.365000,674.915000,2017.150000,1306.675000,2017.430000,1306.955000,2017.290000,1306.815000,2017.390000,1594.390000,2017.670000,1594.670000,2017.530000,1594.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<25>,inputOutput,,MET2,pin,1940.085000,649.075000,1940.365000,649.355000,2017.150000,1281.115000,2017.430000,1281.395000,2017.290000,1281.255000,2017.390000,1568.830000,2017.670000,1569.110000,2017.530000,1568.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<24>,inputOutput,,MET2,pin,1940.085000,624.075000,1940.365000,624.355000,2017.150000,1256.115000,2017.430000,1256.395000,2017.290000,1256.255000,2017.390000,1543.830000,2017.670000,1544.110000,2017.530000,1543.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<25>,inputOutput,,MET2,pin,1940.085000,649.635000,1940.365000,649.915000,2017.150000,1281.675000,2017.430000,1281.955000,2017.290000,1281.815000,2017.390000,1569.390000,2017.670000,1569.670000,2017.530000,1569.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<24>,inputOutput,,MET2,pin,1940.085000,624.635000,1940.365000,624.915000,2017.150000,1256.675000,2017.430000,1256.955000,2017.290000,1256.815000,2017.390000,1544.390000,2017.670000,1544.670000,2017.530000,1544.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<23>,inputOutput,,MET2,pin,1940.085000,599.075000,1940.365000,599.355000,2017.150000,1231.115000,2017.430000,1231.395000,2017.290000,1231.255000,2017.390000,1518.830000,2017.670000,1519.110000,2017.530000,1518.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<22>,inputOutput,,MET2,pin,1940.085000,574.075000,1940.365000,574.355000,2017.150000,1206.115000,2017.430000,1206.395000,2017.290000,1206.255000,2017.390000,1493.830000,2017.670000,1494.110000,2017.530000,1493.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<23>,inputOutput,,MET2,pin,1940.085000,599.635000,1940.365000,599.915000,2017.150000,1231.675000,2017.430000,1231.955000,2017.290000,1231.815000,2017.390000,1519.390000,2017.670000,1519.670000,2017.530000,1519.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<22>,inputOutput,,MET2,pin,1940.085000,574.635000,1940.365000,574.915000,2017.150000,1206.675000,2017.430000,1206.955000,2017.290000,1206.815000,2017.390000,1494.390000,2017.670000,1494.670000,2017.530000,1494.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<21>,inputOutput,,MET2,pin,1940.085000,549.075000,1940.365000,549.355000,2017.150000,1181.115000,2017.430000,1181.395000,2017.290000,1181.255000,2017.390000,1468.830000,2017.670000,1469.110000,2017.530000,1468.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<20>,inputOutput,,MET2,pin,1940.085000,524.075000,1940.365000,524.355000,2017.150000,1156.115000,2017.430000,1156.395000,2017.290000,1156.255000,2017.390000,1443.830000,2017.670000,1444.110000,2017.530000,1443.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<21>,inputOutput,,MET2,pin,1940.085000,549.635000,1940.365000,549.915000,2017.150000,1181.675000,2017.430000,1181.955000,2017.290000,1181.815000,2017.390000,1469.390000,2017.670000,1469.670000,2017.530000,1469.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<20>,inputOutput,,MET2,pin,1940.085000,524.635000,1940.365000,524.915000,2017.150000,1156.675000,2017.430000,1156.955000,2017.290000,1156.815000,2017.390000,1444.390000,2017.670000,1444.670000,2017.530000,1444.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<19>,inputOutput,,MET2,pin,1940.085000,499.075000,1940.365000,499.355000,2017.150000,1131.115000,2017.430000,1131.395000,2017.290000,1131.255000,2017.390000,1418.830000,2017.670000,1419.110000,2017.530000,1418.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<18>,inputOutput,,MET2,pin,1940.085000,474.075000,1940.365000,474.355000,2017.150000,1106.115000,2017.430000,1106.395000,2017.290000,1106.255000,2017.390000,1393.830000,2017.670000,1394.110000,2017.530000,1393.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<19>,inputOutput,,MET2,pin,1940.085000,499.635000,1940.365000,499.915000,2017.150000,1131.675000,2017.430000,1131.955000,2017.290000,1131.815000,2017.390000,1419.390000,2017.670000,1419.670000,2017.530000,1419.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<18>,inputOutput,,MET2,pin,1940.085000,474.635000,1940.365000,474.915000,2017.150000,1106.675000,2017.430000,1106.955000,2017.290000,1106.815000,2017.390000,1394.390000,2017.670000,1394.670000,2017.530000,1394.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<17>,inputOutput,,MET2,pin,1940.085000,449.075000,1940.365000,449.355000,2017.150000,1081.115000,2017.430000,1081.395000,2017.290000,1081.255000,2017.390000,1368.830000,2017.670000,1369.110000,2017.530000,1368.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<16>,inputOutput,,MET2,pin,1940.085000,424.075000,1940.365000,424.355000,2017.150000,1056.115000,2017.430000,1056.395000,2017.290000,1056.255000,2017.390000,1343.830000,2017.670000,1344.110000,2017.530000,1343.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<17>,inputOutput,,MET2,pin,1940.085000,449.635000,1940.365000,449.915000,2017.150000,1081.675000,2017.430000,1081.955000,2017.290000,1081.815000,2017.390000,1369.390000,2017.670000,1369.670000,2017.530000,1369.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<16>,inputOutput,,MET2,pin,1940.085000,424.635000,1940.365000,424.915000,2017.150000,1056.675000,2017.430000,1056.955000,2017.290000,1056.815000,2017.390000,1344.390000,2017.670000,1344.670000,2017.530000,1344.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<15>,inputOutput,,MET2,pin,1940.085000,399.075000,1940.365000,399.355000,2017.150000,1031.115000,2017.430000,1031.395000,2017.290000,1031.255000,2017.390000,1318.830000,2017.670000,1319.110000,2017.530000,1318.970000,RIGHT
