objType,layer,purpose,llx,lly,urx,ury,width,height,cx,cy
label,MET5,TEXT,224.434000,148.029000,251.006000,151.315000,26.572000,3.286000,237.720000,149.672000
label,METTPL,TEXT,223.826000,38.909000,251.114000,42.195000,27.288000,3.286000,237.470000,40.552000
label,METTPL,TEXT,224.184000,148.029000,250.756000,151.315000,26.572000,3.286000,237.470000,149.672000
label,MET4,TEXT,307.576000,38.909000,334.864000,42.195000,27.288000,3.286000,321.220000,40.552000
label,MET4,TEXT,307.791000,15.839000,334.649000,19.125000,26.858000,3.286000,321.220000,17.482000
label,MET4,TEXT,307.791000,170.049000,334.649000,173.335000,26.858000,3.286000,321.220000,171.692000
label,MET4,TEXT,307.934000,148.029000,334.506000,151.315000,26.572000,3.286000,321.220000,149.672000
label,MET5,TEXT,307.576000,38.909000,334.864000,42.195000,27.288000,3.286000,321.220000,40.552000
label,MET5,TEXT,307.791000,15.839000,334.649000,19.125000,26.858000,3.286000,321.220000,17.482000
label,MET5,TEXT,307.791000,170.049000,334.649000,173.335000,26.858000,3.286000,321.220000,171.692000
label,MET5,TEXT,307.934000,148.029000,334.506000,151.315000,26.572000,3.286000,321.220000,149.672000
label,METTPL,TEXT,307.826000,38.909000,335.114000,42.195000,27.288000,3.286000,321.470000,40.552000
label,METTPL,TEXT,308.184000,148.029000,334.756000,151.315000,26.572000,3.286000,321.470000,149.672000
label,METTPL,TEXT,224.041000,15.594000,250.899000,18.880000,26.858000,3.286000,237.470000,17.237000
label,METTPL,TEXT,308.041000,15.594000,334.899000,18.880000,26.858000,3.286000,321.470000,17.237000
label,METTPL,TEXT,224.041000,170.299000,250.899000,173.585000,26.858000,3.286000,237.470000,171.942000
label,METTPL,TEXT,308.041000,170.299000,334.899000,173.585000,26.858000,3.286000,321.470000,171.942000
label,METTPL,pin,401.791000,170.649000,428.649000,173.935000,26.858000,3.286000,415.220000,172.292000
label,METTPL,pin,310.576000,170.649000,352.864000,173.935000,42.288000,3.286000,331.720000,172.292000
label,METTPL,pin,386.362000,15.469000,444.078000,18.755000,57.716000,3.286000,415.220000,17.112000
label,METTPL,pin,295.148000,15.469000,368.292000,18.755000,73.144000,3.286000,331.720000,17.112000
label,MET5,pin,355.505000,170.399000,474.935000,173.685000,119.430000,3.286000,415.220000,172.042000
label,MET5,pin,347.791000,15.839000,482.649000,19.125000,134.858000,3.286000,415.220000,17.482000
label,MET4,pin,340.076000,170.399000,490.364000,173.685000,150.288000,3.286000,415.220000,172.042000
label,MET4,pin,332.362000,15.839000,498.078000,19.125000,165.716000,3.286000,415.220000,17.482000
label,MET5,pin,202.576000,170.399000,460.864000,173.685000,258.288000,3.286000,331.720000,172.042000
label,MET5,pin,194.862000,15.839000,468.578000,19.125000,273.716000,3.286000,331.720000,17.482000
label,MET4,pin,187.148000,170.399000,476.292000,173.685000,289.144000,3.286000,331.720000,172.042000
label,MET4,pin,179.434000,15.839000,484.006000,19.125000,304.572000,3.286000,331.720000,17.482000
label,MET4,TEXT,318.076000,38.909000,345.364000,42.195000,27.288000,3.286000,331.720000,40.552000
label,MET4,TEXT,318.291000,15.839000,345.149000,19.125000,26.858000,3.286000,331.720000,17.482000
label,MET4,TEXT,318.291000,170.049000,345.149000,173.335000,26.858000,3.286000,331.720000,171.692000
label,MET4,TEXT,318.434000,148.029000,345.006000,151.315000,26.572000,3.286000,331.720000,149.672000
label,MET5,TEXT,318.076000,38.909000,345.364000,42.195000,27.288000,3.286000,331.720000,40.552000
label,MET5,TEXT,318.291000,15.839000,345.149000,19.125000,26.858000,3.286000,331.720000,17.482000
label,MET5,TEXT,318.291000,170.049000,345.149000,173.335000,26.858000,3.286000,331.720000,171.692000
label,MET5,TEXT,318.434000,148.029000,345.006000,151.315000,26.572000,3.286000,331.720000,149.672000
label,METTPL,TEXT,317.826000,38.909000,345.114000,42.195000,27.288000,3.286000,331.470000,40.552000
label,METTPL,TEXT,318.184000,148.029000,344.756000,151.315000,26.572000,3.286000,331.470000,149.672000
label,MET4,TEXT,401.576000,38.909000,428.864000,42.195000,27.288000,3.286000,415.220000,40.552000
label,MET4,TEXT,401.791000,15.839000,428.649000,19.125000,26.858000,3.286000,415.220000,17.482000
label,MET4,TEXT,401.791000,170.049000,428.649000,173.335000,26.858000,3.286000,415.220000,171.692000
label,MET4,TEXT,401.934000,148.029000,428.506000,151.315000,26.572000,3.286000,415.220000,149.672000
label,MET5,TEXT,401.576000,38.909000,428.864000,42.195000,27.288000,3.286000,415.220000,40.552000
label,MET5,TEXT,401.791000,15.839000,428.649000,19.125000,26.858000,3.286000,415.220000,17.482000
label,MET5,TEXT,401.791000,170.049000,428.649000,173.335000,26.858000,3.286000,415.220000,171.692000
label,MET5,TEXT,401.934000,148.029000,428.506000,151.315000,26.572000,3.286000,415.220000,149.672000
label,METTPL,TEXT,401.826000,38.909000,429.114000,42.195000,27.288000,3.286000,415.470000,40.552000
label,METTPL,TEXT,402.184000,148.029000,428.756000,151.315000,26.572000,3.286000,415.470000,149.672000
label,METTPL,TEXT,318.041000,15.594000,344.899000,18.880000,26.858000,3.286000,331.470000,17.237000
label,METTPL,TEXT,402.041000,15.594000,428.899000,18.880000,26.858000,3.286000,415.470000,17.237000
label,METTPL,TEXT,318.041000,170.299000,344.899000,173.585000,26.858000,3.286000,331.470000,171.942000
label,METTPL,TEXT,402.041000,170.299000,428.899000,173.585000,26.858000,3.286000,415.470000,171.942000
label,METTPL,pin,495.505000,170.649000,522.935000,173.935000,27.430000,3.286000,509.220000,172.292000
label,METTPL,pin,404.291000,170.649000,447.149000,173.935000,42.858000,3.286000,425.720000,172.292000
label,METTPL,pin,480.076000,15.469000,538.364000,18.755000,58.288000,3.286000,509.220000,17.112000
label,METTPL,pin,388.862000,15.469000,462.578000,18.755000,73.716000,3.286000,425.720000,17.112000
label,MET5,pin,449.219000,170.399000,569.221000,173.685000,120.002000,3.286000,509.220000,172.042000
label,MET5,pin,441.505000,15.839000,576.935000,19.125000,135.430000,3.286000,509.220000,17.482000
label,MET4,pin,433.791000,170.399000,584.649000,173.685000,150.858000,3.286000,509.220000,172.042000
label,MET4,pin,426.076000,15.839000,592.364000,19.125000,166.288000,3.286000,509.220000,17.482000
label,MET5,pin,296.291000,170.399000,555.149000,173.685000,258.858000,3.286000,425.720000,172.042000
label,MET5,pin,288.576000,15.839000,562.864000,19.125000,274.288000,3.286000,425.720000,17.482000
label,MET4,pin,280.862000,170.399000,570.578000,173.685000,289.716000,3.286000,425.720000,172.042000
label,MET4,pin,273.148000,15.839000,578.292000,19.125000,305.144000,3.286000,425.720000,17.482000
label,MET4,TEXT,411.791000,38.909000,439.649000,42.195000,27.858000,3.286000,425.720000,40.552000
label,MET4,TEXT,412.005000,15.839000,439.435000,19.125000,27.430000,3.286000,425.720000,17.482000
label,MET4,TEXT,412.005000,170.049000,439.435000,173.335000,27.430000,3.286000,425.720000,171.692000
label,MET4,TEXT,412.148000,148.029000,439.292000,151.315000,27.144000,3.286000,425.720000,149.672000
label,MET5,TEXT,411.791000,38.909000,439.649000,42.195000,27.858000,3.286000,425.720000,40.552000
label,MET5,TEXT,412.005000,15.839000,439.435000,19.125000,27.430000,3.286000,425.720000,17.482000
label,MET5,TEXT,412.005000,170.049000,439.435000,173.335000,27.430000,3.286000,425.720000,171.692000
label,MET5,TEXT,412.148000,148.029000,439.292000,151.315000,27.144000,3.286000,425.720000,149.672000
label,METTPL,TEXT,411.541000,38.909000,439.399000,42.195000,27.858000,3.286000,425.470000,40.552000
label,METTPL,TEXT,411.898000,148.029000,439.042000,151.315000,27.144000,3.286000,425.470000,149.672000
label,MET4,TEXT,495.291000,38.909000,523.149000,42.195000,27.858000,3.286000,509.220000,40.552000
label,MET4,TEXT,495.505000,15.839000,522.935000,19.125000,27.430000,3.286000,509.220000,17.482000
label,MET4,TEXT,495.505000,170.049000,522.935000,173.335000,27.430000,3.286000,509.220000,171.692000
label,MET4,TEXT,495.648000,148.029000,522.792000,151.315000,27.144000,3.286000,509.220000,149.672000
label,MET5,TEXT,495.291000,38.909000,523.149000,42.195000,27.858000,3.286000,509.220000,40.552000
label,MET5,TEXT,495.505000,15.839000,522.935000,19.125000,27.430000,3.286000,509.220000,17.482000
label,MET5,TEXT,495.505000,170.049000,522.935000,173.335000,27.430000,3.286000,509.220000,171.692000
label,MET5,TEXT,495.648000,148.029000,522.792000,151.315000,27.144000,3.286000,509.220000,149.672000
label,METTPL,TEXT,495.541000,38.909000,523.399000,42.195000,27.858000,3.286000,509.470000,40.552000
label,METTPL,TEXT,495.898000,148.029000,523.042000,151.315000,27.144000,3.286000,509.470000,149.672000
label,METTPL,TEXT,411.755000,15.594000,439.185000,18.880000,27.430000,3.286000,425.470000,17.237000
label,METTPL,TEXT,495.755000,15.594000,523.185000,18.880000,27.430000,3.286000,509.470000,17.237000
label,METTPL,TEXT,411.755000,170.299000,439.185000,173.585000,27.430000,3.286000,425.470000,171.942000
label,METTPL,TEXT,495.755000,170.299000,523.185000,173.585000,27.430000,3.286000,509.470000,171.942000
label,METTPL,pin,589.505000,170.649000,616.935000,173.935000,27.430000,3.286000,603.220000,172.292000
label,METTPL,pin,498.291000,170.649000,541.149000,173.935000,42.858000,3.286000,519.720000,172.292000
label,METTPL,pin,574.076000,15.469000,632.364000,18.755000,58.288000,3.286000,603.220000,17.112000
label,METTPL,pin,482.862000,15.469000,556.578000,18.755000,73.716000,3.286000,519.720000,17.112000
label,MET5,pin,543.219000,170.399000,663.221000,173.685000,120.002000,3.286000,603.220000,172.042000
label,MET5,pin,535.505000,15.839000,670.935000,19.125000,135.430000,3.286000,603.220000,17.482000
label,MET4,pin,527.791000,170.399000,678.649000,173.685000,150.858000,3.286000,603.220000,172.042000
label,MET4,pin,520.076000,15.839000,686.364000,19.125000,166.288000,3.286000,603.220000,17.482000
label,MET5,pin,390.291000,170.399000,649.149000,173.685000,258.858000,3.286000,519.720000,172.042000
label,MET5,pin,382.576000,15.839000,656.864000,19.125000,274.288000,3.286000,519.720000,17.482000
label,MET4,pin,374.862000,170.399000,664.578000,173.685000,289.716000,3.286000,519.720000,172.042000
label,MET4,pin,367.148000,15.839000,672.292000,19.125000,305.144000,3.286000,519.720000,17.482000
label,MET4,TEXT,505.791000,38.909000,533.649000,42.195000,27.858000,3.286000,519.720000,40.552000
label,MET4,TEXT,506.005000,15.839000,533.435000,19.125000,27.430000,3.286000,519.720000,17.482000
label,MET4,TEXT,506.005000,170.049000,533.435000,173.335000,27.430000,3.286000,519.720000,171.692000
label,MET4,TEXT,506.148000,148.029000,533.292000,151.315000,27.144000,3.286000,519.720000,149.672000
label,MET5,TEXT,505.791000,38.909000,533.649000,42.195000,27.858000,3.286000,519.720000,40.552000
label,MET5,TEXT,506.005000,15.839000,533.435000,19.125000,27.430000,3.286000,519.720000,17.482000
label,MET5,TEXT,506.005000,170.049000,533.435000,173.335000,27.430000,3.286000,519.720000,171.692000
label,MET5,TEXT,506.148000,148.029000,533.292000,151.315000,27.144000,3.286000,519.720000,149.672000
label,METTPL,TEXT,505.541000,38.909000,533.399000,42.195000,27.858000,3.286000,519.470000,40.552000
label,METTPL,TEXT,505.898000,148.029000,533.042000,151.315000,27.144000,3.286000,519.470000,149.672000
label,MET4,TEXT,589.291000,38.909000,617.149000,42.195000,27.858000,3.286000,603.220000,40.552000
label,MET4,TEXT,589.505000,15.839000,616.935000,19.125000,27.430000,3.286000,603.220000,17.482000
label,MET4,TEXT,589.505000,170.049000,616.935000,173.335000,27.430000,3.286000,603.220000,171.692000
label,MET4,TEXT,589.648000,148.029000,616.792000,151.315000,27.144000,3.286000,603.220000,149.672000
label,MET5,TEXT,589.291000,38.909000,617.149000,42.195000,27.858000,3.286000,603.220000,40.552000
label,MET5,TEXT,589.505000,15.839000,616.935000,19.125000,27.430000,3.286000,603.220000,17.482000
label,MET5,TEXT,589.505000,170.049000,616.935000,173.335000,27.430000,3.286000,603.220000,171.692000
label,MET5,TEXT,589.648000,148.029000,616.792000,151.315000,27.144000,3.286000,603.220000,149.672000
label,METTPL,TEXT,589.541000,38.909000,617.399000,42.195000,27.858000,3.286000,603.470000,40.552000
label,METTPL,TEXT,589.898000,148.029000,617.042000,151.315000,27.144000,3.286000,603.470000,149.672000
label,METTPL,TEXT,505.755000,15.594000,533.185000,18.880000,27.430000,3.286000,519.470000,17.237000
label,METTPL,TEXT,589.755000,15.594000,617.185000,18.880000,27.430000,3.286000,603.470000,17.237000
label,METTPL,TEXT,505.755000,170.299000,533.185000,173.585000,27.430000,3.286000,519.470000,171.942000
label,METTPL,TEXT,589.755000,170.299000,617.185000,173.585000,27.430000,3.286000,603.470000,171.942000
label,METTPL,pin,683.505000,170.649000,710.935000,173.935000,27.430000,3.286000,697.220000,172.292000
label,METTPL,pin,592.291000,170.649000,635.149000,173.935000,42.858000,3.286000,613.720000,172.292000
label,METTPL,pin,668.076000,15.469000,726.364000,18.755000,58.288000,3.286000,697.220000,17.112000
label,METTPL,pin,576.862000,15.469000,650.578000,18.755000,73.716000,3.286000,613.720000,17.112000
label,MET5,pin,637.219000,170.399000,757.221000,173.685000,120.002000,3.286000,697.220000,172.042000
label,MET5,pin,629.505000,15.839000,764.935000,19.125000,135.430000,3.286000,697.220000,17.482000
label,MET4,pin,621.791000,170.399000,772.649000,173.685000,150.858000,3.286000,697.220000,172.042000
label,MET4,pin,614.076000,15.839000,780.364000,19.125000,166.288000,3.286000,697.220000,17.482000
label,MET5,pin,484.291000,170.399000,743.149000,173.685000,258.858000,3.286000,613.720000,172.042000
label,MET5,pin,476.576000,15.839000,750.864000,19.125000,274.288000,3.286000,613.720000,17.482000
label,MET4,pin,468.862000,170.399000,758.578000,173.685000,289.716000,3.286000,613.720000,172.042000
label,MET4,pin,461.148000,15.839000,766.292000,19.125000,305.144000,3.286000,613.720000,17.482000
label,MET4,TEXT,599.791000,38.909000,627.649000,42.195000,27.858000,3.286000,613.720000,40.552000
label,MET4,TEXT,600.005000,15.839000,627.435000,19.125000,27.430000,3.286000,613.720000,17.482000
label,MET4,TEXT,600.005000,170.049000,627.435000,173.335000,27.430000,3.286000,613.720000,171.692000
label,MET4,TEXT,600.148000,148.029000,627.292000,151.315000,27.144000,3.286000,613.720000,149.672000
label,MET5,TEXT,599.791000,38.909000,627.649000,42.195000,27.858000,3.286000,613.720000,40.552000
label,MET5,TEXT,600.005000,15.839000,627.435000,19.125000,27.430000,3.286000,613.720000,17.482000
label,MET5,TEXT,600.005000,170.049000,627.435000,173.335000,27.430000,3.286000,613.720000,171.692000
