row,col,bit,endpoint_pin,driver_pin,driver_instance,current_cell,status,method,candidate_count,score
0,7,5,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g442__6131/Q","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g442__6131",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,7,3,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[3]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,7,6,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g441__7098/Q","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g441__7098",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,7,4,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g439__5122/Q","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g439__5122",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,0,0,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
1,0,2,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g437__9945/Q","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g437__9945",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,0,1,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g438__2883/Q","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g438__2883",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,0,5,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g442__6417/Q","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g442__6417",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,0,3,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g436__9315/Q","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g436__9315",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,0,6,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g441__7410/Q","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g441__7410",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,0,4,"u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g439__2346/Q","u_core_gen_pd_row[1].gen_pd_col[0].u_pd/g439__2346",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,1,0,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
1,1,6,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g441__2802/Q","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g441__2802",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,1,4,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g439__3680/Q","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g439__3680",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,1,1,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g438__6783/Q","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g438__6783",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,1,5,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g442__1705/Q","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g442__1705",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,1,2,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g437__5526/Q","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g437__5526",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,1,3,"u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g436__8428/Q","u_core_gen_pd_row[1].gen_pd_col[1].u_pd/g436__8428",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,2,0,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
1,2,2,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g437__7482/Q","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g437__7482",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,2,1,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g438__4733/Q","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g438__4733",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,2,5,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g442__2883/Q","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g442__2883",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,2,3,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g436__5115/Q","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g436__5115",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,2,6,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g441__9945/Q","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g441__9945",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,2,4,"u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g439__6161/Q","u_core_gen_pd_row[1].gen_pd_col[2].u_pd/g439__6161",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,3,0,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
1,3,2,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g437__5107/Q","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g437__5107",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,3,1,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g438__6260/Q","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g438__6260",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,3,5,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g442__6783/Q","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g442__6783",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,3,3,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g436__2398/Q","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g436__2398",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,3,6,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g441__5526/Q","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g441__5526",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,3,4,"u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g439__4319/Q","u_core_gen_pd_row[1].gen_pd_col[3].u_pd/g439__4319",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,4,0,"u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
1,4,2,"u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g437__7098/Q","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g437__7098",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,4,1,"u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g438__6131/Q","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g438__6131",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,4,5,"u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g442__4733/Q","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g442__4733",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
1,4,3,"u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[3]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
1,4,6,"u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g441__7482/Q","u_core_gen_pd_row[1].gen_pd_col[4].u_pd/g441__7482",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
