instance	master	placement_status	orientation	box
g1550__1881	AND4JIHDX1	placed	MX	{371.28 504.0 375.2 508.48}
g1551__5115	NA4JIHDX1	placed	MX	{363.44 288.96 366.8 293.44}
g1552__7482	NA4JIHDX1	placed	R180	{380.8 154.56 384.16 159.04}
g1553__4733	NA4JIHDX1	placed	R0	{368.48 347.2 371.84 351.68}
g1554__6161	AND4JIHDX1	placed	MX	{388.08 495.04 392.0 499.52}
g1555	AND4JIHDX1	placed	R180	{367.92 566.72 371.84 571.2}
g1556	NA4JIHDX1	placed	MX	{377.44 181.44 380.8 185.92}
g1557	AND4JIHDX1	placed	MX	{363.44 602.56 367.36 607.04}
g1558	AND4JIHDX1	placed	R0	{365.12 553.28 369.04 557.76}
g1559	AND4JIHDX1	placed	R180	{369.6 495.04 373.52 499.52}
g1560	NA4JIHDX1	placed	MX	{370.16 280.0 373.52 284.48}
g1561	AND4JIHDX1	placed	MX	{355.04 548.8 358.96 553.28}
g1562	AN22JIHDX1	placed	MY	{406.0 284.48 409.36 288.96}
g1563	AN22JIHDX1	placed	R180	{341.04 306.88 344.4 311.36}
g1564	AN22JIHDX1	placed	R0	{422.24 141.12 425.6 145.6}
g1565	AN22JIHDX1	placed	MY	{404.32 141.12 407.68 145.6}
g1566	AN22JIHDX1	placed	R180	{336.0 145.6 339.36 150.08}
g1567	AN22JIHDX1	placed	R0	{342.72 347.2 346.08 351.68}
g1568	AN22JIHDX1	placed	MX	{384.16 136.64 387.52 141.12}
g1569	AN22JIHDX1	placed	MY	{332.08 194.88 335.44 199.36}
g1570	AN22JIHDX1	placed	R0	{417.2 338.24 420.56 342.72}
g1571	AN22JIHDX1	placed	R0	{413.84 185.92 417.2 190.4}
g1572	AN22JIHDX1	placed	R180	{381.36 199.36 384.72 203.84}
g1573	AN22JIHDX1	placed	R0	{365.12 580.16 368.48 584.64}
g1574	AN22JIHDX1	placed	R0	{428.4 150.08 431.76 154.56}
g1575	AN22JIHDX1	placed	MY	{329.84 275.52 333.2 280.0}
g1576	AN22JIHDX1	placed	R180	{391.44 360.64 394.8 365.12}
g1577	AN22JIHDX1	placed	R180	{348.32 387.52 351.68 392.0}
g1578	AN22JIHDX1	placed	R0	{354.48 284.48 357.84 288.96}
g1579	AN22JIHDX1	placed	R0	{426.72 293.44 430.08 297.92}
g1580	AN22JIHDX1	placed	MY	{405.44 293.44 408.8 297.92}
g1581	AN22JIHDX1	placed	MY	{399.28 150.08 402.64 154.56}
g1582	AN22JIHDX1	placed	MY	{330.96 311.36 334.32 315.84}
g1583	AN22JIHDX1	placed	R0	{344.96 284.48 348.32 288.96}
g1584	AN22JIHDX1	placed	R0	{340.48 508.48 343.84 512.96}
g1585	AN22JIHDX1	placed	R0	{357.28 589.12 360.64 593.6}
g1586	AN22JIHDX1	placed	R0	{348.88 338.24 352.24 342.72}
g1587	AN22JIHDX1	placed	R0	{423.92 338.24 427.28 342.72}
g1588	AN22JIHDX1	placed	R180	{445.2 566.72 448.56 571.2}
g1589	AN22JIHDX1	placed	R180	{377.44 351.68 380.8 356.16}
g1590	AN22JIHDX1	placed	MY	{353.92 383.04 357.28 387.52}
g1591	AN22JIHDX1	placed	MY	{323.68 150.08 327.04 154.56}
g1592	AN22JIHDX1	placed	MY	{431.76 589.12 435.12 593.6}
g1593	AN22JIHDX1	placed	MY	{330.96 553.28 334.32 557.76}
g1594	AN22JIHDX1	placed	R0	{364.0 598.08 367.36 602.56}
g1595	AN22JIHDX1	placed	R0	{430.64 562.24 434.0 566.72}
g1596	AN22JIHDX1	placed	MX	{442.96 557.76 446.32 562.24}
g1597	AN22JIHDX1	placed	MY	{418.32 589.12 421.68 593.6}
g1598	AN22JIHDX1	placed	R0	{342.16 194.88 345.52 199.36}
g1599	AN22JIHDX1	placed	R0	{331.52 562.24 334.88 566.72}
g1600	AN22JIHDX1	placed	R0	{361.76 616.0 365.12 620.48}
g1601	AN22JIHDX1	placed	R0	{348.32 616.0 351.68 620.48}
g1602	AN22JIHDX1	placed	R0	{496.72 607.04 500.08 611.52}
g1603	AN22JIHDX1	placed	R0	{500.08 589.12 503.44 593.6}
