config,delay_ps,estimator,N,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
multihit_15_cal_nominal,2000,conv_mean,15,1000,-1926.6567111111121,0.3148223092789842,-1926.6666666666672,-1916.7111111111117,-1926.6666666666672,1926.6567368069122,1926.6567111111121,1926.6666666666672,1926.6666666666672
multihit_15_cal_nominal,5000,conv_mean,1,1000,-1689.3333333333323,6.824623428515955e-13,-1689.333333333333,-1689.333333333333,-1689.333333333333,1689.3333333333333,1689.3333333333323,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,conv_mean,2,1000,-1689.3333333333323,6.824623428515955e-13,-1689.333333333333,-1689.333333333333,-1689.333333333333,1689.3333333333333,1689.3333333333323,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,conv_mean,3,1000,-1689.3333333333323,6.824623428515955e-13,-1689.333333333333,-1689.333333333333,-1689.333333333333,1689.3333333333333,1689.3333333333323,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,conv_mean,4,1000,-1689.2559999999992,1.7283602074754378,-1689.333333333333,-1650.6666666666665,-1689.333333333333,1689.2568833003988,1689.2559999999992,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,conv_mean,5,1000,-1689.302399999999,0.978197889545399,-1689.3333333333328,-1658.4,-1689.3333333333328,1689.3026829316286,1689.302399999999,1689.3333333333328,1689.3333333333328
multihit_15_cal_nominal,5000,conv_mean,6,1000,-1689.2559999999992,1.410493008690415,-1689.3333333333328,-1663.5555555555554,-1689.3333333333328,1689.2565882769363,1689.2559999999992,1689.3333333333328,1689.3333333333328
multihit_15_cal_nominal,5000,conv_mean,7,1000,-1689.3112380952373,0.6987127782467126,-1689.3333333333326,-1667.238095238095,-1689.3333333333326,1689.3113824473603,1689.3112380952373,1689.3333333333326,1689.3333333333326
multihit_15_cal_nominal,5000,conv_mean,8,1000,-1689.2946666666655,0.8641801037377191,-1689.333333333333,-1669.9999999999998,-1689.333333333333,1689.2948874867552,1689.2946666666655,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,conv_mean,9,1000,-1689.298962962962,0.7681600922113002,-1689.333333333333,-1672.148148148148,-1689.333333333333,1689.2991374376534,1689.298962962962,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,conv_mean,10,1000,-1689.3178666666659,0.4890989447727031,-1689.3333333333328,-1673.8666666666663,-1689.3333333333328,1689.3179373989303,1689.3178666666659,1689.3333333333328,1689.3333333333328
multihit_15_cal_nominal,5000,conv_mean,11,1000,-1689.305212121211,0.6284946209001493,-1689.3333333333328,-1675.272727272727,-1689.3333333333328,1689.3053289178883,1689.305212121211,1689.3333333333328,1689.3333333333328
multihit_15_cal_nominal,5000,conv_mean,12,1000,-1689.3204444444434,0.4075824539772514,-1689.3333333333328,-1676.4444444444441,-1689.3333333333328,1689.3204935639972,1689.3204444444434,1689.3333333333328,1689.3333333333328
multihit_15_cal_nominal,5000,conv_mean,13,1000,-1689.2857435897427,0.7513292458537015,-1689.3333333333326,-1677.435897435897,-1689.3333333333326,1689.2859105038115,1689.2857435897427,1689.3333333333326,1689.3333333333326
multihit_15_cal_nominal,5000,conv_mean,14,1000,-1689.3112380952368,0.49381720213583075,-1689.3333333333326,-1678.2857142857138,-1689.3333333333326,1689.3113101990523,1689.3112380952368,1689.3333333333326,1689.3333333333326
multihit_15_cal_nominal,5000,conv_mean,15,1000,-1689.3127111111103,0.46089605532677597,-1689.3333333333326,-1679.0222222222217,-1689.3333333333326,1689.31277392149,1689.3127111111103,1689.3333333333326,1689.3333333333326
multihit_15_cal_nominal,10000,conv_mean,1,1000,-1809.3333333333344,4.549748952343969e-13,-1809.333333333334,-1809.333333333334,-1809.333333333334,1809.3333333333335,1809.3333333333344,1809.333333333334,1809.333333333334
multihit_15_cal_nominal,10000,conv_mean,2,1000,-1809.2586666666678,2.3611673195924,-1809.333333333334,-1734.666666666667,-1809.333333333334,1809.260205842279,1809.2586666666678,1809.333333333334,1809.333333333334
